WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
Erlang,1.52,26.0,0.38,0.76,0.19,0.38,0.19,4.36,0.95,0.19,2.47,2.28,16.51,25.81,15.56,0.95,1.33,0.19
F#,,,,,,,,,,,,,,,,,,
Go,0.89,25.05,0.11,1.47,0.31,3.57,0.42,6.49,1.01,0.17,4.16,1.48,15.35,26.67,11.17,0.28,0.87,0.53
Groovy,0.49,18.94,0.13,0.98,0.31,5.41,2.8,9.54,1.2,0.13,3.19,1.42,14.33,24.71,15.71,0.18,0.4,0.13
HTML/CSS,0.7,7.36,0.41,1.46,0.22,0.66,0.47,6.11,0.43,0.18,1.64,0.76,29.92,32.16,16.27,0.33,0.54,0.38
Haskell,4.25,16.68,0.21,4.35,0.21,0.73,0.21,9.74,1.76,0.21,3.42,1.35,17.41,26.32,12.02,0.21,0.62,0.31
Java,0.83,15.75,0.31,1.9,0.21,0.85,1.05,8.64,0.73,0.15,3.18,0.97,17.23,25.43,21.74,0.24,0.47,0.31
JavaScript,0.57,9.03,0.31,1.3,0.19,0.7,0.55,6.09,0.49,0.18,1.67,0.83,28.14,32.8,15.94,0.32,0.59,0.31
Julia,21.04,6.72,1.19,21.49,0.15,0.15,0.15,5.82,0.9,0.3,9.7,1.19,8.96,11.79,8.96,1.04,0.3,0.15
Kotlin,0.51,11.49,0.24,0.64,0.09,0.37,0.37,4.98,0.49,0.09,1.42,0.9,11.04,18.7,48.0,0.15,0.36,0.15
LISP,6.01,15.1,0.84,3.78,0.42,0.98,0.42,10.77,1.4,0.28,3.92,1.54,18.74,20.7,12.87,0.42,0.84,0.98
Matlab,8.56,7.67,0.93,10.14,0.19,0.47,0.93,9.07,4.47,0.05,9.07,0.88,14.56,17.58,14.51,0.33,0.33,0.28
Node.js,0.42,8.11,0.2,0.91,0.13,0.89,0.45,4.8,0.31,0.14,1.41,0.93,29.01,32.58,18.56,0.3,0.61,0.23
Objective-C,0.81,3.47,0.25,0.5,0.05,0.25,0.25,4.58,1.01,0.81,0.6,0.96,8.31,11.43,65.41,0.5,0.65,0.15
PHP,0.57,9.68,0.3,0.84,0.32,1.04,0.26,4.82,0.35,0.09,1.25,0.65,26.96,31.32,20.12,0.31,0.55,0.55
Perl,2.2,15.98,0.53,2.97,1.01,3.27,1.54,10.34,3.03,0.3,3.92,1.25,17.35,22.04,11.53,0.24,0.48,2.02
PowerShell,0.65,8.87,0.64,2.09,0.99,2.77,0.94,13.37,0.8,0.23,3.03,0.84,22.1,27.4,13.1,0.26,0.55,1.36
Python,2.58,14.27,0.97,6.66,0.41,2.08,1.08,8.61,2.26,0.36,6.24,1.05,16.18,24.06,11.63,0.36,0.59,0.6
R,10.33,6.13,3.38,23.73,0.61,0.43,0.46,5.52,0.68,0.04,9.87,0.82,11.12,16.64,8.55,0.61,0.78,0.32
Ruby,0.47,17.11,0.25,0.84,0.23,1.93,0.72,4.22,0.51,0.1,2.16,1.56,17.21,38.29,12.35,0.56,0.99,0.49
Rust,2.96,20.98,0.32,2.72,0.21,1.46,0.48,10.53,2.88,0.85,3.81,1.08,15.85,23.78,10.48,0.32,0.77,0.53
SQL,0.59,12.44,0.78,2.91,0.5,0.84,0.58,8.71,0.35,0.1,3.9,0.89,21.13,30.46,14.51,0.31,0.59,0.41
Scala,,,,,,,,,,,,,,,,,,
Swift,0.53,3.81,0.26,0.91,0.21,0.26,0.29,3.37,0.56,0.23,0.73,1.03,8.36,13.15,64.88,0.44,0.85,0.12
TypeScript,0.27,6.99,0.12,0.54,0.07,0.48,0.35,5.3,0.24,0.11,1.05,0.82,31.23,33.67,17.89,0.22,0.55,0.1
VBA,1.28,5.93,3.54,3.57,1.14,0.84,1.21,14.58,0.61,0.1,4.68,0.94,20.84,21.89,16.36,0.54,0.77,1.18
