"year","ID","Job_title","training_done(yes-no)","training_done","sponsored training(yes-no)","sponsored training","type training (yes-no)","skills"
2020,"#38","Data Analyst","No",0,,,,
2020,"#39","Data Analyst","No",0,,,,
2020,"#40","Data Analyst","No",0,,,,
2021,"#1","Growth Hacker","Yes",1,"Yes",1,"Bootcamp","SEO"
2021,"#2","Growth Hacker","Yes",1,"Yes",1,"Online course","Agile project management"
2021,"#3","Marketing technologist","Yes",1,"Yes",1,"Online course","Scrum methods certification"
2021,"#4","Growth Hacker","Yes",1,"Yes",1,"Online course","JavaScript"
2021,"#4","Growth Hacker","Yes",1,"Yes",1,"Online course","Python"
2021,"#5","Marketing technologist","No",0,,,,
2021,"#6","SEO Specialist","Yes",1,"No",0,"Internal training, online course","Social media SEO"
2021,"#6","SEO Specialist","Yes",1,"No",0,"Internal training, online course","SEA"
2021,"#6","SEO Specialist","Yes",1,"No",0,"Internal training, online course","agile project management"
2021,"#6","SEO Specialist","Yes",1,"No",0,"Internal training, online course","prioritization"
2021,"#6","SEO Specialist","Yes",1,"No",0,"Internal training, online course","time management"
2021,"#7","Web Analyst","Yes",1,"No",0,"Online course","CICD"
2021,"#7","Web Analyst","Yes",1,"No",0,"Online course","Ionic"
2021,"#7","Web Analyst","Yes",1,"No",0,"Online course","Swift"
2021,"#8","Digital Marketing Specialist","Yes",1,"No",0,"Online course","Adobe XD"
2021,"#9","Social Media Manager","Yes",1,"No",0,"Online course","Web developpement basics : Angular"
2021,"#9","Social Media Manager","Yes",1,"No",0,"Online course","JQuery"
2021,"#10","UX Designer","No",0,,,,
2021,"#11","Front-End Developer","Yes",1,"No",0,"Online course","CICD"
2021,"#11","Front-End Developer","Yes",1,"No",0,"Online course","CapacitorJs"
2021,"#11","Front-End Developer","Yes",1,"No",0,"Online course","Kotlin"
2021,"#11","Front-End Developer","Yes",1,"No",0,"Online course","Ionic"
2021,"#12","Front-End Developer","No",0,,,,
2021,"#13","Front-End Developer","No",0,,,,
2021,"#14","Back-End Developer","Yes",1,"No",0,"Online course","Tailwind"
2021,"#15","Back-End Developer","Yes",1,,,"Internal Training","Scrum methods certification"
2021,"#16","Back-End Developer","No",0,,,,
2021,"#17","Fullstack Developer","Yes",1,"No",0,"Online course","Agile project management"
2021,"#18","Fullstack Developer","Yes",1,"Yes",1,"Online course","Ionic"
2021,"#18","Fullstack Developer","Yes",1,"Yes",1,"Online course","Swift"
2021,"#18","Fullstack Developer","Yes",1,"Yes",1,"Online course","Capacitor JS"
2021,"#19","Data Architect","No",0,,,,
2021,"#20","Mobile Developer","No",0,,,,
2021,"#21","Mobile Developer","Yes",1,"No",0,"Online course","Data presentation"
2021,"#21","Mobile Developer","Yes",1,"No",0,"Online course","data mining"
2021,"#21","Mobile Developer","Yes",1,"No",0,"Online course","Python"
2021,"#22","Mobile Developer","No",0,"No",0,,
2021,"#23","Data Architect","No",0,,,,
2021,"#24","Data Architect","Yes",1,"Yes",,"Online course","Tensorflow"
2021,"#24","Data Architect","Yes",1,"Yes",,"Online course","Scikit Learn"
2021,"#24","Data Architect","Yes",1,"Yes",,"Online course","Pandas"
2021,"#24","Data Architect","Yes",1,"Yes",,"Online course","Pytorch"
2021,"#25","Data Architect","No",0,,,,
2021,"#26","Data Architect","No",0,,,,
2021,"#27","Data Architect","No",0,,,,
2021,"#28","Data Scientist","No",0,,,,
2021,"#29","Data Scientist","Yes",1,"Yes",1,"Onlne course","Scala"
2021,"#29","Data Scientist","Yes",1,"Yes",1,"Onlne course","Spark"
2021,"#29","Data Scientist","Yes",1,"Yes",1,"Onlne course","Operating Systems"
2021,"#29","Data Scientist","Yes",1,"Yes",1,"Onlne course","Cloud Functions"
2021,"#30","Data Scientist","Yes",1,,,"Online course","Data mining"
2021,"#30","Data Scientist","Yes",1,,,"Online course","Numpy"
2021,"#31","Product Manager","No",0,,,,
2021,"#32","Product Manager","No",0,,,,
2021,"#33","Product Manager","No",0,,,,
2021,"#34","Data Architect","No",0,,,,
2021,"#35","Data Analyst","No",0,,,,
2021,"#36","Data Analyst","No",0,,,,
2021,"#37","Data Analyst","Yes",1,,,"Internal Training","Scala"
2021,"#37","Data Analyst","Yes",1,,,"Internal Training","Spark"
2021,"#37","Data Analyst","Yes",1,,,"Internal Training","Operating Systems"
2021,"#37","Data Analyst","Yes",1,,,"Internal Training","Cloud Functions"
2021,"#38","Data Analyst","Yes",1,,,"Internal Training","Scrum methods certification"
2021,"#39","Data Analyst","Yes",1,,,"Internal Training","Scala"
2021,"#39","Data Analyst","Yes",1,,,"Internal Training","Spark"
2021,"#39","Data Analyst","Yes",1,,,"Internal Training","Operating Systems"
2021,"#39","Data Analyst","Yes",1,,,"Internal Training","Cloud Functions"
2021,"#40","Data Analyst","No",0,,,,
