Employment,ConvertedCompYearly,Country,DevType
Employed full-time,105000,United States of America,Engineer_ data
Employed full-time,56211,Germany,Fullstack Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,35508,Turkey,Back-End Developer
Employed full-time,64859,Germany,Fullstack Developer
Employed full-time,5750000,United States of America,Front-End Developer
Employed full-time,110000,United States of America,Mobile Developer
"Independent contractor, freelancer, or self-employed",64860,Romania,Fullstack Developer
Employed full-time,120000,United States of America,Mobile Developer
Employed full-time,32604,Armenia,Fullstack Developer
Employed full-time,6360,Bangladesh,Engineer_ data
Employed full-time,48644,Germany,Fullstack Developer
Employed full-time,54672,Poland,Back-End Developer
Employed full-time,35676,Netherlands,Fullstack Developer
Employed full-time,75631,Canada,Back-End Developer
Employed full-time,70000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,58373,Germany,Academic researcher
Employed full-time,25944,Greece,Fullstack Developer
Employed full-time,5585,India,Front-End Developer
Employed full-time,58000,United States of America,Back-End Developer
Employed full-time,61616,Germany,Fullstack Developer
Employed full-time,59454,France,Engineering manager
Employed full-time,55224,Sweden,Engineer_ data
Employed full-time,68068,Canada,Engineer_ data
Employed full-time,74000,United States of America,Back-End Developer
Employed full-time,217800,India,Data Scientist
Employed full-time,118908,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,40000,United States of America,Back-End Developer
Employed full-time,71850,Canada,Front-End Developer
Employed full-time,66934,Canada,Front-End Developer
Employed full-time,54216,Finland,Developer_ embedded applications or devices
"Independent contractor, freelancer, or self-employed",16032,"Iran, Islamic Republic of...",Mobile Developer
"Independent contractor, freelancer, or self-employed",64860,Spain,Fullstack Developer
Employed full-time,19860,Peru,Mobile Developer
Employed full-time,19452,Italy,Mobile Developer
Employed full-time,54888,Switzerland,Fullstack Developer
Employed full-time,108000,United States of America,Front-End Developer
Employed full-time,58373,Germany,Mobile Developer
Employed full-time,56616,Russian Federation,Back-End Developer
Employed full-time,45401,Greece,Mobile Developer
Employed part-time,48104,France,Back-End Developer
Employed part-time,84312,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,55582,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,71093,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",72000,Russian Federation,Front-End Developer
Employed full-time,60752,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,25944,Greece,Fullstack Developer
Employed full-time,179858,Japan,Fullstack Developer
Employed full-time,30372,Poland,Mobile Developer
Employed full-time,29832,Belgium,Academic researcher
Employed full-time,40020,United Arab Emirates,Mobile Developer
Employed full-time,20100,India,Fullstack Developer
Employed full-time,90000,United States of America,Data Scientist
Employed full-time,67000,United States of America,Mobile Developer
Employed full-time,21676,India,Back-End Developer
Employed full-time,101649,Switzerland,Front-End Developer
Employed full-time,17352,Bolivia,Front-End Developer
Employed full-time,195000,United States of America,Back-End Developer
Employed full-time,34380,Portugal,Back-End Developer
Employed full-time,155111,United Kingdom of Great Britain and Northern Ireland,Product Manager
Employed full-time,64860,Austria,Fullstack Developer
Employed full-time,123228,France,Fullstack Developer
"Independent contractor, freelancer, or self-employed",90000,Canada,Front-End Developer
Employed full-time,28308,Russian Federation,DevOps specialist
Employed full-time,17508,Italy,Front-End Developer
Employed full-time,280000,United States of America,Back-End Developer
Employed full-time,48644,France,Front-End Developer
Employed full-time,54769,Sweden,Front-End Developer
Employed full-time,45564,Poland,Developer_ desktop or enterprise applications
Employed full-time,25428,Bangladesh,Front-End Developer
Employed full-time,29000,United States of America,Academic researcher
Employed full-time,170000,United States of America,Front-End Developer
Employed full-time,19728,Turkey,Front-End Developer
Employed full-time,24132,Portugal,Fullstack Developer
Employed full-time,54804,Ukraine,Front-End Developer
Employed full-time,70000,United States of America,Front-End Developer
Employed full-time,42432,South Africa,Fullstack Developer
"Independent contractor, freelancer, or self-employed",97288,France,Front-End Developer
Employed full-time,40000,United States of America,Mobile Developer
Employed full-time,40212,Netherlands,Front-End Developer
Employed full-time,90758,Canada,Fullstack Developer
Employed full-time,15408,Pakistan,Front-End Developer
Employed full-time,54224,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,81319,Switzerland,Fullstack Developer
"Independent contractor, freelancer, or self-employed",1081,Austria,Fullstack Developer
Employed full-time,85000,United States of America,Data Analyst
Employed full-time,64859,Germany,Fullstack Developer
Employed full-time,279774,Argentina,Back-End Developer
Employed full-time,62268,Netherlands,Mobile Developer
Employed full-time,31750,Canada,Fullstack Developer
Employed full-time,100000,United States of America,Fullstack Developer
Employed full-time,92000,United States of America,Engineer_ data
Employed full-time,34591,Spain,Back-End Developer
Employed full-time,92500,Switzerland,Fullstack Developer
Employed full-time,135000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,71093,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,42756,"Iran, Islamic Republic of...",Back-End Developer
Employed full-time,150000,United States of America,Fullstack Developer
Employed full-time,65000,United States of America,Mobile Developer
Employed part-time,25944,Germany,Front-End Developer
Employed full-time,64859,Spain,Data Scientist
Employed full-time,48644,Ireland,Developer_ desktop or enterprise applications
Employed full-time,2659212,Greece,Front-End Developer
Employed full-time,5028,India,Data Analyst
Employed full-time,16416,India,Mobile Developer
Employed full-time,35672,Italy,Fullstack Developer
Employed full-time,64860,Belgium,Data Scientist
Employed full-time,59454,Germany,Fullstack Developer
Employed full-time,45396,France,Mobile Developer
Employed part-time,19452,Germany,Front-End Developer
Employed full-time,22212,Lebanon,Back-End Developer
Employed full-time,60000,Ukraine,Mobile Developer
Employed full-time,110000,United States of America,Back-End Developer
Employed full-time,53832,Ukraine,Fullstack Developer
Employed full-time,18080,Turkey,Fullstack Developer
Employed full-time,31128,Germany,Mobile Developer
Employed full-time,96204,Brazil,Mobile Developer
Employed full-time,5448,Pakistan,Mobile Developer
Employed full-time,88640,France,Front-End Developer
Employed full-time,20539,Spain,Developer_ desktop or enterprise applications
Employed full-time,190000,United States of America,Fullstack Developer
Employed full-time,49765,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,48644,France,Back-End Developer
Employed full-time,57765,United States of America,Back-End Developer
Employed full-time,40000,United States of America,Database administrator
Employed full-time,37440,United States of America,Fullstack Developer
Employed full-time,83194,Canada,Front-End Developer
Employed full-time,430000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",11724,India,Mobile Developer
Employed full-time,111814,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,133000,United States of America,Front-End Developer
Employed full-time,69183,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",247764,Netherlands,Back-End Developer
Employed full-time,64737,Norway,Engineer_ data
Employed full-time,47563,Italy,Mobile Developer
Employed full-time,118908,Netherlands,Back-End Developer
Employed full-time,69183,France,Front-End Developer
Employed full-time,29320,India,Developer_ desktop or enterprise applications
Employed full-time,70264,Austria,Back-End Developer
Employed full-time,4008,Ukraine,Front-End Developer
Employed full-time,51888,Serbia,Mobile Developer
Employed full-time,64859,France,Front-End Developer
Employed full-time,59454,Italy,Mobile Developer
"Independent contractor, freelancer, or self-employed",78750,United States of America,Front-End Developer
Employed full-time,36753,France,Engineer_ data
Employed full-time,6981,India,Data Scientist
Employed full-time,125000,United States of America,DevOps specialist
Employed full-time,63854,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,123984,India,Developer_ desktop or enterprise applications
Employed full-time,25944,Greece,Fullstack Developer
"Independent contractor, freelancer, or self-employed",2508,India,Mobile Developer
Employed full-time,46482,Netherlands,Fullstack Developer
Employed full-time,7788,Pakistan,Front-End Developer
"Independent contractor, freelancer, or self-employed",72000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",152473,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,35672,Italy,Data Scientist
"Independent contractor, freelancer, or self-employed",85908,Sweden,Front-End Developer
Employed full-time,27144,Romania,Engineer_ data
Employed full-time,140000,United States of America,Mobile Developer
Employed full-time,8376,India,Fullstack Developer
Employed full-time,86478,Germany,Mobile Developer
"Independent contractor, freelancer, or self-employed",45564,Poland,Mobile Developer
Employed full-time,134028,India,Data Scientist
Employed full-time,98000,United States of America,Developer_ embedded applications or devices
Employed part-time,36708,Austria,Developer_ desktop or enterprise applications
Employed full-time,54049,Germany,Mobile Developer
Employed full-time,73500,United States of America,Developer_ desktop or enterprise applications
Employed full-time,56211,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,60744,Poland,Front-End Developer
"Independent contractor, freelancer, or self-employed",5208,Bolivia,Mobile Developer
Employed full-time,183767,France,Back-End Developer
Employed full-time,25128,India,Mobile Developer
Employed full-time,24324,Viet Nam,Back-End Developer
Employed full-time,49725,Malta,Back-End Developer
Employed full-time,36324,Germany,Mobile Developer
Employed full-time,82000,United States of America,Fullstack Developer
Employed full-time,105000,United States of America,Academic researcher
Employed full-time,59454,Finland,Front-End Developer
Employed full-time,1512650,Canada,Back-End Developer
Employed full-time,28437,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,41004,Poland,Front-End Developer
Employed full-time,135000,United States of America,Mobile Developer
Employed full-time,31332,India,Back-End Developer
Employed full-time,50806,Netherlands,Front-End Developer
Employed full-time,41077,France,Front-End Developer
"Independent contractor, freelancer, or self-employed",24912,Poland,Front-End Developer
Employed full-time,45401,France,Front-End Developer
"Independent contractor, freelancer, or self-employed",37620,France,Mobile Developer
Employed full-time,200000,United States of America,Fullstack Developer
Employed full-time,40489,India,Mobile Developer
Employed full-time,58000,United States of America,Fullstack Developer
Employed full-time,12828,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,48472,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,27528,Serbia,Fullstack Developer
Employed full-time,19389,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,43239,Germany,Engineer_ data
Employed full-time,16215,Spain,Front-End Developer
Employed part-time,35676,Netherlands,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",180000,United States of America,Mobile Developer
Employed full-time,51888,Germany,Academic researcher
Employed full-time,45396,Spain,Mobile Developer
Employed full-time,33095,Italy,Fullstack Developer
Employed full-time,8364,Malaysia,Fullstack Developer
Employed full-time,70000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,57072,Netherlands,Back-End Developer
Employed full-time,130000,United States of America,Front-End Developer
Employed full-time,22512,Ukraine,Mobile Developer
Employed part-time,2568,"Iran, Islamic Republic of...",Developer_ game or graphics
Employed full-time,22536,Brazil,Fullstack Developer
"Independent contractor, freelancer, or self-employed",96000,United States of America,Data Scientist
Employed full-time,32424,Belgium,Front-End Developer
Employed full-time,56208,Germany,Developer_ desktop or enterprise applications
Employed full-time,175000,United States of America,Mobile Developer
Employed full-time,42156,Austria,Fullstack Developer
Employed full-time,91056,Israel,Back-End Developer
Employed full-time,68068,Canada,Back-End Developer
Employed full-time,9864,Turkey,Fullstack Developer
Employed full-time,55702,United States of America,Engineer_ data
Employed full-time,11832,Turkey,Senior Executive (C-Suite_ VP_ etc.)
Employed full-time,6852,Ukraine,Mobile Developer
Employed full-time,39131,France,Fullstack Developer
Employed full-time,46644,Georgia,Back-End Developer
Employed full-time,72000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,110000,United States of America,Front-End Developer
Employed full-time,45401,Italy,Developer_ desktop or enterprise applications
Employed full-time,155000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",54564,Czech Republic,Back-End Developer
"Independent contractor, freelancer, or self-employed",24300,Poland,Fullstack Developer
Employed full-time,75885,Germany,Mobile Developer
Employed full-time,259692,India,Mobile Developer
Employed full-time,125000,United States of America,Engineer_ data
Employed full-time,70000,United States of America,Front-End Developer
Employed full-time,30000,Belarus,Fullstack Developer
Employed full-time,105000,United States of America,Mobile Developer
Employed full-time,68724,Sweden,Developer_ desktop or enterprise applications
Employed full-time,10992,Brazil,Mobile Developer
Employed full-time,40500,Sweden,Mobile Developer
Employed full-time,19152,Croatia,Developer_ game or graphics
Employed full-time,12828,"Iran, Islamic Republic of...",Back-End Developer
Employed full-time,77832,Germany,Developer_ desktop or enterprise applications
Employed part-time,16050,Australia,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",50928,Sweden,Mobile Developer
"Independent contractor, freelancer, or self-employed",5868,India,Fullstack Developer
Employed full-time,58728,Ukraine,Back-End Developer
Employed full-time,156000,United States of America,Front-End Developer
Employed full-time,155844,Israel,Engineering manager
Employed full-time,77900,Canada,Data Analyst
Employed full-time,27844,Poland,DevOps specialist
Employed full-time,126083,Switzerland,Front-End Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,50806,France,Fullstack Developer
"Independent contractor, freelancer, or self-employed",108100,France,Mobile Developer
Employed full-time,38400,Turkey,Back-End Developer
Employed full-time,103776,Belgium,Data Scientist
Employed part-time,45000,United States of America,Front-End Developer
Employed full-time,9773,India,Front-End Developer
Employed full-time,45401,Germany,Developer_ desktop or enterprise applications
Employed full-time,120000,United States of America,Fullstack Developer
Employed full-time,66500,United States of America,Front-End Developer
Employed full-time,31224,South Africa,Front-End Developer
Employed full-time,8040,India,Front-End Developer
Employed full-time,7344,Bangladesh,Front-End Developer
Employed full-time,3444,Madagascar,Mobile Developer
"Independent contractor, freelancer, or self-employed",3564,Kenya,Fullstack Developer
Employed full-time,49296,Finland,Front-End Developer
Employed full-time,125000,United States of America,Fullstack Developer
Employed full-time,46482,France,Developer_ desktop or enterprise applications
Employed part-time,20112,Austria,Mobile Developer
Employed full-time,29320,India,Front-End Developer
Employed full-time,297270,Netherlands,Back-End Developer
Employed full-time,7548,Russian Federation,Back-End Developer
Employed full-time,116333,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,54049,Germany,Front-End Developer
Employed full-time,32429,Italy,Front-End Developer
Employed full-time,27240,Italy,Developer_ embedded applications or devices
Employed part-time,28536,Germany,Academic researcher
Employed full-time,400000,United States of America,Engineer_ data
Employed full-time,71093,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,5496,Brazil,Fullstack Developer
Employed full-time,14256,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,32429,Italy,Engineer_ data
Employed full-time,160000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",65976,Brazil,Fullstack Developer
Employed full-time,27025,Italy,Mobile Developer
Employed full-time,49160,Canada,Fullstack Developer
Employed full-time,64000,United States of America,Front-End Developer
Employed full-time,57156,Czech Republic,Fullstack Developer
Employed full-time,39564,Slovenia,Mobile Developer
Employed full-time,50411,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,51888,Spain,Front-End Developer
"Independent contractor, freelancer, or self-employed",59448,Brazil,Front-End Developer
Employed full-time,135000,United States of America,Data Scientist
Employed full-time,105300,Poland,Fullstack Developer
Employed full-time,13332,Nigeria,Fullstack Developer
Employed full-time,46482,France,Developer_ desktop or enterprise applications
Employed full-time,518868,France,Back-End Developer
"Independent contractor, freelancer, or self-employed",180000,Brazil,Data Scientist
Employed full-time,17868,Brazil,Developer_ QA or test
Employed full-time,25944,Belgium,Developer_ desktop or enterprise applications
Employed full-time,74970,United Kingdom of Great Britain and Northern Ireland,Data Scientist
Employed full-time,385344,India,Fullstack Developer
"Independent contractor, freelancer, or self-employed",25980,Czech Republic,Fullstack Developer
Employed full-time,52942,Canada,Developer_ QA or test
Employed part-time,9729,Spain,Back-End Developer
Employed full-time,40212,Austria,Data Scientist
Employed full-time,85000,United States of America,Mobile Developer
Employed full-time,8652,Malaysia,Front-End Developer
Employed full-time,45401,Austria,Engineer_ data
Employed full-time,20943,India,Front-End Developer
Employed full-time,120000,United States of America,Back-End Developer
Employed full-time,41232,Brazil,Fullstack Developer
Employed full-time,155000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,53388,Sweden,Mobile Developer
Employed full-time,54049,Germany,Developer_ desktop or enterprise applications
Employed full-time,57720,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,54480,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",114000,United States of America,Back-End Developer
Employed full-time,34584,France,Developer_ desktop or enterprise applications
Employed full-time,36804,Russian Federation,Fullstack Developer
Employed full-time,51887,Germany,Engineer_ data
"Independent contractor, freelancer, or self-employed",77831,Germany,Fullstack Developer
Employed full-time,32676,Belarus,Developer_ desktop or enterprise applications
Employed full-time,10728,India,Fullstack Developer
Employed full-time,34428,Singapore,Back-End Developer
Employed full-time,81074,Italy,Fullstack Developer
Employed full-time,115000,United States of America,Fullstack Developer
Employed full-time,55211,Canada,Front-End Developer
Employed full-time,30216,Hungary,Fullstack Developer
"Independent contractor, freelancer, or self-employed",206815,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,91883,France,Front-End Developer
Employed full-time,19452,Greece,Fullstack Developer
Employed full-time,200000,United States of America,Fullstack Developer
Employed full-time,142000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,125000,United States of America,Mobile Developer
Employed full-time,84019,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,60972,Belgium,Developer_ desktop or enterprise applications
Employed full-time,31128,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",60744,Poland,Fullstack Developer
Employed full-time,51888,Germany,Developer_ embedded applications or devices
Employed full-time,3504,Pakistan,Mobile Developer
Employed full-time,51960,Czech Republic,Fullstack Developer
Employed full-time,16475,India,Developer_ desktop or enterprise applications
Employed full-time,41040,Germany,Fullstack Developer
Employed full-time,175000,United States of America,Engineer_ data
Employed full-time,49941,Austria,Developer_ desktop or enterprise applications
Employed full-time,18848,India,Fullstack Developer
Employed full-time,84312,Germany,Mobile Developer
Employed full-time,81074,Germany,Data Scientist
Employed full-time,68102,Germany,Developer_ desktop or enterprise applications
Employed full-time,17796,Kenya,Mobile Developer
Employed part-time,110000,United States of America,Academic researcher
Employed full-time,126000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,28320,Turkey,Mobile Developer
"Independent contractor, freelancer, or self-employed",24948,Czech Republic,Fullstack Developer
Employed full-time,5585,India,Front-End Developer
Employed full-time,908028,Germany,Engineer_ data
